Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam
2023-02-17,14:28:59,1,3,"Edgington, Brian",1000026672,Right,VIR_CAV,"Keller, Logan",1000013117,Right,NAV_MID,Undefined,2,Top,0,1,1,Slider,Slider,FoulBall,Undefined,Undefined,0,0,80.7841,0.027096,-1.704836,2218.065386,71.516609,08:30:00,5.98779,1.5939,5.33005,-45.84766,-1.43965,-9.03867,2.19259,-0.75941,73.25507,-8.337065,-3.311401,0.479625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89268,-0.10492,-1.43356,50,5.95835,3.87428,-117.01803,-1.5997,5.31349,25.28932,-32.31726,VIR_CAV,NAV_MID
2023-02-17,14:29:23,1,4,"Edgington, Brian",1000026672,Right,VIR_CAV,"Keller, Logan",1000013117,Right,NAV_MID,Undefined,2,Top,0,1,2,Fastball,Four-Seam,InPlay,FlyBall,Out,1,0,91.53844,-1.683219,-2.836826,2164.64274,210.38427,01:00:00,6.02673,1.42735,5.77355,-17.05635,16.91221,9.20083,3.03669,-0.44785,82.60053,-4.936627,-1.19165,0.419479,93.54142,57.87306,18.530165,4463.675974,NA,NA,NA,NA,98.96649,NA,NA,-5.60488,9.51284,-1.19857,50,5.87747,6.16631,-132.60531,-4.42298,-9.84769,31.86379,-15.4602,VIR_CAV,NAV_MID
2023-02-17,14:30:04,2,1,"Edgington, Brian",1000026672,Right,VIR_CAV,"Murtha, Brock",1000093357,Right,NAV_MID,Undefined,2,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,0,0,80.26081,1.527782,-0.351959,2189.48854,67.480573,08:15:00,5.96722,1.59246,5.3327,-48.11514,-3.49914,-12.01843,3.39141,0.2607,73.10846,-7.248218,-2.488408,0.480747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8815,-1.72106,-1.55188,50,6.07086,1.21418,-116.42264,1.3906,8.00449,23.57341,-34.51638,VIR_CAV,NAV_MID
2023-02-17,14:30:23,2,2,"Edgington, Brian",1000026672,Right,VIR_CAV,"Murtha, Brock",1000093357,Right,NAV_MID,Undefined,2,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,0,0,90.29511,0.080361,-1.691807,2070.953073,218.836045,01:15:00,6.05577,1.56913,6.00311,-19.78379,14.72103,10.87674,4.48161,0.90756,81.47311,-3.687575,0.263584,0.422777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.06315,7.87587,-1.44175,50,6.05129,3.39282,-130.98575,-0.41318,-10.40708,30.77526,-18.65558,VIR_CAV,NAV_MID
2023-02-17,14:30:42,2,3,"Edgington, Brian",1000026672,Right,VIR_CAV,"Murtha, Brock",1000093357,Right,NAV_MID,Undefined,2,Top,1,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,0,0,92.02212,-2.681938,-3.002006,2263.597714,198.971132,12:45:00,5.96311,1.43345,5.74143,-14.03422,19.74824,6.36024,2.29118,-0.83426,82.87926,-5.392132,-1.866038,0.418328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.17429,11.23642,-1.18741,50,5.73121,6.69038,-133.12168,-6.62764,-7.3817,32.45692,-12.30398,VIR_CAV,NAV_MID
2023-02-17,14:31:02,2,4,"Edgington, Brian",1000026672,Right,VIR_CAV,"Murtha, Brock",1000093357,Right,NAV_MID,Undefined,2,Top,1,1,2,Splitter,Splitter,BallCalled,Undefined,Undefined,0,0,84.55716,-2.793283,-3.701202,1142.933032,246.294387,02:15:00,5.86448,1.66808,5.34433,-32.95592,7.55918,13.93824,0.49041,-0.64708,76.90257,-8.827256,-1.226484,0.458121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.16544,5.06862,-1.34463,50,5.58873,7.31519,-122.24941,-7.14046,-12.22175,26.56265,-24.58751,VIR_CAV,NAV_MID
2023-02-17,14:31:23,2,5,"Edgington, Brian",1000026672,Right,VIR_CAV,"Murtha, Brock",1000093357,Right,NAV_MID,Undefined,2,Top,1,2,2,Fastball,Four-Seam,InPlay,LineDrive,Single,0,0,92.88399,-2.073903,-2.670949,2281.702939,215.027883,01:15:00,5.89449,1.52342,5.77605,-15.65532,17.21336,11.26233,2.65718,-0.02517,84.11757,-5.063,-0.656334,0.412632,106.56082,11.40999,-18.471199,1267.552336,102.70125,13.52542,-39.39987,199.87621,199.87621,-23.259543,1.624196,-6.57048,9.74812,-1.30972,50,5.7138,5.77709,-134.60123,-5.3564,-11.94235,31.74506,-14.45612,VIR_CAV,NAV_MID
2023-02-17,14:32:19,3,1,"Edgington, Brian",1000026672,Right,VIR_CAV,"Rausch, Kyle",1000084188,Right,NAV_MID,Undefined,2,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,0,0,91.17571,-4.086286,-4.09677,2238.467282,209.386915,01:00:00,5.91037,1.52756,5.56254,-14.58643,20.18863,10.63953,0.86106,-1.41964,82.25929,-6.880263,-2.205925,0.424429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.65544,11.85745,-1.18061,50,5.54711,8.93623,-131.55167,-9.84089,-11.51012,31.32076,-11.66747,VIR_CAV,NAV_MID
2023-02-17,14:32:43,3,2,"Edgington, Brian",1000026672,Right,VIR_CAV,"Rausch, Kyle",1000084188,Right,NAV_MID,Undefined,2,Top,1,1,0,Curveball,Curveball,InPlay,FlyBall,Out,1,0,81.01388,0.239104,-1.536438,2270.155953,58.558809,08:00:00,5.9042,1.81636,5.38564,-48.12845,-3.68677,-8.80957,2.1177,-0.35823,72.85926,-8.561361,-3.104557,0.479807,86.79819,33.914413,-11.710889,3857.353999,108.62891,66.53862,-17.31263,322.4656,319.88584,-5.119625,4.968463,3.88792,-1.47347,-1.67255,50,5.89184,3.5096,-117.31573,-1.20916,5.27631,27.61509,-34.17372,VIR_CAV,NAV_MID
2023-02-17,14:33:24,4,1,"Edgington, Brian",1000026672,Right,VIR_CAV,"Diaz, Eduardo",1000101037,Right,NAV_MID,Undefined,2,Top,2,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,0,0,91.72948,-2.550066,-2.628121,2183.056781,209.918635,01:00:00,5.94973,1.50654,5.63116,-15.06887,19.19005,10.2889,2.31064,-0.08988,82.26282,-5.452124,-0.792673,0.421268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.06898,10.93075,-1.28943,50,5.72315,5.61713,-132.6827,-6.34933,-10.61095,33.47754,-13.06275,VIR_CAV,NAV_MID
